360.0  	1.0890
365.0 	1.0970
370.0 	1.2934
375.0 	0.9850
380.0 	1.1520
385.0 	1.0802
390.0 	1.2519
395.0 	1.2450
400.0 	1.6885
405.0 	1.7150
410.0 	1.5370
415.0 	1.7688
420.0 	1.5990
425.0 	1.7550
430.0 	1.2120
435.0 	1.7090
440.0 	1.8300
445.0 	1.9650
450.0 	2.0690
455.0 	2.0010
460.0 	1.9973
465.0 	1.9840
470.0 	1.9390
475.0 	2.0800
480.0 	2.0680
485.0 	1.9790
490.0 	2.0320
495.0 	2.0510
500.0 	1.9160
505.0 	1.9472
510.0 	1.9100
515.0 	1.8750
520.0 	1.8600
525.0 	1.9280
530.0 	1.8920
535.0 	1.8950
540.0 	1.8000
545.0 	1.8740
550.0 	1.8630
555.0 	1.8890
560.0 	1.7860
565.0 	1.8490
570.0 	1.8280
575.0 	1.8340
580.0 	1.8340
585.0 	1.8360
590.0 	1.7218
595.0 	1.7780
600.0 	1.7700
605.0 	1.7730
610.0 	1.7240
615.0 	1.7120
620.0 	1.7110
625.0 	1.6440
630.0 	1.6650
635.0 	1.6520
640.0 	1.6130
645.0 	1.6270
650.0 	1.5260
655.0 	1.5230
660.0 	1.5580
665.0 	1.5670
670.0 	1.5340
675.0 	1.4990
680.0 	1.4940
685.0 	1.4650
690.0 	1.4790
695.0 	1.4350
700.0 	1.4220
705.0 	1.4330
710.0 	1.4040
715.0 	1.3502
720.0 	1.3487
725.0 	1.3465
730.0 	1.3357
735.0 	1.3271
740.0 	1.2830
745.0 	1.2920
750.0 	1.2740
755.0 	1.2771
760.0 	1.2590
765.0 	1.2452
770.0 	1.2146
775.0 	1.2080
780.0 	1.1930
785.0 	1.1874
790.0 	1.1704
795.0 	1.1280
800.0 	1.1248
805.0 	1.1001
810.0 	1.1100
815.0 	1.1091
820.0 	1.0740
825.0 	1.0699
830.0 	1.0563
